time,id,from,at,to,open,close,low,high,volume
2025-10-14 06:49:00,2971927,1760424540,1760424600000000000,1760424600,0.90846,0.90853,0.908415,0.90863,196
2025-10-14 06:50:00,2971928,1760424600,1760424660000000000,1760424660,0.90851,0.908845,0.90851,0.90887,219
2025-10-14 06:51:00,2971929,1760424660,1760424720000000000,1760424720,0.908835,0.90872,0.908665,0.90889,234
2025-10-14 06:52:00,2971930,1760424720,1760424780000000000,1760424780,0.908705,0.9087,0.908635,0.908835,185
2025-10-14 06:53:00,2971931,1760424780,1760424840000000000,1760424840,0.9087,0.90872,0.90864,0.908745,110
2025-10-14 06:54:00,2971932,1760424840,1760424900000000000,1760424900,0.90873,0.90889,0.908685,0.908975,223
2025-10-14 06:55:00,2971933,1760424900,1760424960000000000,1760424960,0.908875,0.90889,0.908835,0.90892,222
2025-10-14 06:56:00,2971934,1760424960,1760425020000000000,1760425020,0.908885,0.908835,0.908775,0.9089,227
2025-10-14 06:57:00,2971935,1760425020,1760425080000000000,1760425080,0.90885,0.90877,0.908735,0.90885,238
2025-10-14 06:58:00,2971936,1760425080,1760425140000000000,1760425140,0.908765,0.90884,0.908685,0.90888,199
2025-10-14 06:59:00,2971937,1760425140,1760425200000000000,1760425200,0.908835,0.909015,0.908815,0.909095,269
2025-10-14 07:00:00,2971938,1760425200,1760425260000000000,1760425260,0.90902,0.90879,0.908765,0.909125,556
2025-10-14 07:01:00,2971939,1760425260,1760425320000000000,1760425320,0.908775,0.90858,0.90855,0.908815,386
2025-10-14 07:02:00,2971940,1760425320,1760425380000000000,1760425380,0.908585,0.90836,0.908335,0.90874,340
2025-10-14 07:03:00,2971941,1760425380,1760425440000000000,1760425440,0.90835,0.90822,0.90819,0.90842,442
2025-10-14 07:04:00,2971942,1760425440,1760425500000000000,1760425500,0.90823,0.90825,0.908215,0.90833,323
2025-10-14 07:05:00,2971943,1760425500,1760425560000000000,1760425560,0.908255,0.908305,0.90817,0.90835,276
2025-10-14 07:06:00,2971944,1760425560,1760425620000000000,1760425620,0.90829,0.90827,0.908245,0.908395,386
2025-10-14 07:07:00,2971945,1760425620,1760425680000000000,1760425680,0.908275,0.908175,0.90814,0.908365,430
2025-10-14 07:08:00,2971946,1760425680,1760425740000000000,1760425740,0.908165,0.90825,0.908145,0.90826,292
2025-10-14 07:09:00,2971947,1760425740,1760425800000000000,1760425800,0.90827,0.90847,0.90824,0.908495,312
2025-10-14 07:10:00,2971948,1760425800,1760425860000000000,1760425860,0.908475,0.90877,0.908435,0.90881,343
2025-10-14 07:11:00,2971949,1760425860,1760425920000000000,1760425920,0.908765,0.90859,0.90859,0.90885,360
2025-10-14 07:12:00,2971950,1760425920,1760425980000000000,1760425980,0.9086,0.90871,0.908575,0.908735,308
2025-10-14 07:13:00,2971951,1760425980,1760426040000000000,1760426040,0.90872,0.90838,0.908365,0.908725,337
2025-10-14 07:14:00,2971952,1760426040,1760426100000000000,1760426100,0.90837,0.908325,0.908235,0.90837,259
2025-10-14 07:15:00,2971953,1760426100,1760426160008300732,1760426160,0.90834,0.90854,0.908265,0.90863,298
2025-10-14 07:16:00,2971954,1760426160,1760426220000000000,1760426220,0.90855,0.90869,0.908495,0.90878,352
2025-10-14 07:17:00,2971955,1760426220,1760426280000000000,1760426280,0.908685,0.909005,0.908685,0.90903,330
2025-10-14 07:18:00,2971956,1760426280,1760426340000000000,1760426340,0.90901,0.908815,0.908775,0.90903,338
2025-10-14 07:19:00,2971957,1760426340,1760426400000000000,1760426400,0.90883,0.90886,0.908785,0.90897,280
2025-10-14 07:20:00,2971958,1760426400,1760426460000000000,1760426460,0.90884,0.908905,0.9088,0.90893,245
2025-10-14 07:21:00,2971959,1760426460,1760426520000000000,1760426520,0.9089,0.908715,0.90868,0.9089,220
2025-10-14 07:22:00,2971960,1760426520,1760426580000000000,1760426580,0.90872,0.9088,0.90861,0.908815,264
2025-10-14 07:23:00,2971961,1760426580,1760426640000000000,1760426640,0.90879,0.908845,0.908765,0.90893,252
2025-10-14 07:24:00,2971962,1760426640,1760426700000000000,1760426700,0.90884,0.9089,0.90884,0.908995,252
2025-10-14 07:25:00,2971963,1760426700,1760426760000000000,1760426760,0.90889,0.90885,0.908835,0.90898,198
2025-10-14 07:26:00,2971964,1760426760,1760426820000000000,1760426820,0.90885,0.90892,0.908735,0.90895,232
2025-10-14 07:27:00,2971965,1760426820,1760426880000000000,1760426880,0.908925,0.908985,0.90884,0.909005,286
2025-10-14 07:28:00,2971966,1760426880,1760426940000000000,1760426940,0.90897,0.90883,0.90876,0.908995,355
2025-10-14 07:29:00,2971967,1760426940,1760427000000000000,1760427000,0.90882,0.908825,0.90876,0.90885,227
2025-10-14 07:30:00,2971968,1760427000,1760427060000000000,1760427060,0.90882,0.908635,0.908595,0.908865,329
2025-10-14 07:31:00,2971969,1760427060,1760427120000000000,1760427120,0.90864,0.908605,0.90857,0.90865,171
2025-10-14 07:32:00,2971970,1760427120,1760427180000000000,1760427180,0.90859,0.908435,0.908365,0.908605,307
2025-10-14 07:33:00,2971971,1760427180,1760427240000000000,1760427240,0.908445,0.90829,0.908265,0.9085,251
2025-10-14 07:34:00,2971972,1760427240,1760427300000000000,1760427300,0.90828,0.90809,0.908045,0.90829,201
2025-10-14 07:35:00,2971973,1760427300,1760427360000000000,1760427360,0.908085,0.90795,0.90791,0.90812,225
2025-10-14 07:36:00,2971974,1760427360,1760427420000000000,1760427420,0.90795,0.907865,0.907815,0.90807,324
2025-10-14 07:37:00,2971975,1760427420,1760427480000000000,1760427480,0.907845,0.90702,0.90702,0.908,765
2025-10-14 07:38:00,2971976,1760427480,1760427540000000000,1760427540,0.907035,0.90783,0.906955,0.90799,1274
2025-10-14 07:39:00,2971977,1760427540,1760427600000000000,1760427600,0.90782,0.907515,0.907465,0.90787,737
2025-10-14 07:40:00,2971978,1760427600,1760427660000000000,1760427660,0.90752,0.90741,0.9074,0.90769,539
2025-10-14 07:41:00,2971979,1760427660,1760427720000000000,1760427720,0.907405,0.90764,0.907295,0.90764,449
2025-10-14 07:42:00,2971980,1760427720,1760427780000000000,1760427780,0.907635,0.9075,0.907435,0.90776,454
2025-10-14 07:43:00,2971981,1760427780,1760427840000000000,1760427840,0.90749,0.907165,0.90716,0.90762,513
2025-10-14 07:44:00,2971982,1760427840,1760427900000000000,1760427900,0.90717,0.90717,0.90715,0.90736,461
2025-10-14 07:45:00,2971983,1760427900,1760427960000000000,1760427960,0.90716,0.90737,0.907155,0.90744,410
2025-10-14 07:46:00,2971984,1760427960,1760428020000000000,1760428020,0.90738,0.90757,0.90733,0.90768,393
2025-10-14 07:47:00,2971985,1760428020,1760428080000000000,1760428080,0.907555,0.90742,0.907405,0.907655,393
2025-10-14 07:48:00,2971986,1760428080,1760428140000000000,1760428140,0.907415,0.90747,0.90735,0.90756,277
2025-10-14 07:49:00,2971987,1760428140,1760428200000000000,1760428200,0.907465,0.907425,0.907385,0.90755,307
2025-10-14 07:50:00,2971988,1760428200,1760428260000000000,1760428260,0.90743,0.907705,0.90738,0.90776,290
2025-10-14 07:51:00,2971989,1760428260,1760428320000000000,1760428320,0.9077,0.907865,0.90762,0.907875,401
2025-10-14 07:52:00,2971990,1760428320,1760428380000000000,1760428380,0.90788,0.90791,0.907845,0.90798,306
2025-10-14 07:53:00,2971991,1760428380,1760428440000000000,1760428440,0.907905,0.90777,0.907735,0.907985,333
2025-10-14 07:54:00,2971992,1760428440,1760428500000000000,1760428500,0.90776,0.90777,0.907735,0.90783,242
2025-10-14 07:55:00,2971993,1760428500,1760428560000000000,1760428560,0.90778,0.907855,0.907665,0.9079,285
2025-10-14 07:56:00,2971994,1760428560,1760428620000000000,1760428620,0.907865,0.90781,0.907715,0.907865,270
2025-10-14 07:57:00,2971995,1760428620,1760428680000000000,1760428680,0.907805,0.907725,0.907615,0.90784,220
